income,land_size,state,crop,irrigation,farmer_type,scheme,approved
366766,5.56,gujarat,wheat,yes,large,cotton_support_scheme,0
192885,4.48,punjab,wheat,yes,large,pm_kisan,0
328022,3.7,punjab,wheat,yes,medium,rice_development_scheme,0
340025,5.22,up,wheat,no,large,pm_kisan,0
80563,2.15,up,rice,yes,medium,medium_farmer_modernization,1
210466,5.15,up,wheat,yes,large,small_farmer_support,0
120228,3.43,karnataka,rice,no,medium,pm_kisan,0
223590,4.66,gujarat,wheat,yes,large,medium_farmer_modernization,0
52501,1.29,maharashtra,cotton,no,small,pm_kisan,1
108269,1.61,karnataka,sugarcane,yes,small,medium_farmer_modernization,0
328012,4.27,up,wheat,yes,large,drip_irrigation,0
150346,3.57,punjab,rice,yes,medium,crop_insurance,0
152591,2.81,up,rice,no,medium,drip_irrigation,1
396951,5.19,karnataka,rice,no,large,pm_kisan,0
111455,2.26,gujarat,cotton,yes,medium,rice_development_scheme,1
63275,0.99,maharashtra,sugarcane,no,small,medium_farmer_modernization,0
254873,4.21,maharashtra,cotton,no,large,rice_development_scheme,1
369973,4.62,karnataka,rice,yes,large,drip_irrigation,0
309970,4.45,punjab,wheat,yes,large,cotton_support_scheme,0
104267,2.54,gujarat,wheat,no,medium,cotton_support_scheme,0
116389,1.73,maharashtra,cotton,no,small,sugarcane_incentive,0
27542,0.55,punjab,wheat,yes,small,medium_farmer_modernization,0
306127,5.43,up,wheat,no,large,small_farmer_support,0
284869,3.4,karnataka,sugarcane,yes,medium,small_farmer_support,0
181493,5.96,karnataka,sugarcane,no,large,sugarcane_incentive,1
47750,0.63,gujarat,wheat,no,small,drip_irrigation,0
181126,3.28,up,rice,yes,medium,drip_irrigation,0
214566,2.63,maharashtra,sugarcane,yes,medium,pm_kisan,0
291055,5.97,up,wheat,no,large,rice_development_scheme,1
335779,4.2,up,wheat,yes,large,large_farmer_irrigation_support,1
229753,4.5,up,rice,yes,large,small_farmer_support,0
32095,0.75,karnataka,sugarcane,no,small,pm_kisan,1
190949,4.83,karnataka,rice,no,large,medium_farmer_modernization,0
35150,0.55,up,wheat,yes,small,sugarcane_incentive,1
523662,5.47,maharashtra,sugarcane,yes,large,crop_insurance,1
71282,1.18,up,rice,yes,small,low_income_farmer_aid,1
363202,4.05,karnataka,rice,yes,large,rice_development_scheme,1
175137,2.5,gujarat,wheat,yes,medium,cotton_support_scheme,0
290683,3.56,gujarat,cotton,yes,medium,rice_development_scheme,0
94747,1.59,punjab,wheat,yes,small,sugarcane_incentive,1
440347,4.66,punjab,rice,yes,large,medium_farmer_modernization,0
249717,5.28,maharashtra,cotton,no,large,pm_kisan,0
50387,0.94,gujarat,wheat,yes,small,medium_farmer_modernization,0
126666,2.63,maharashtra,sugarcane,no,medium,large_farmer_irrigation_support,0
148053,4.01,maharashtra,sugarcane,no,large,rice_development_scheme,0
165191,5.43,gujarat,cotton,no,large,crop_insurance,0
139577,3.8,maharashtra,sugarcane,yes,medium,pm_kisan,0
306692,3.95,maharashtra,sugarcane,yes,medium,sugarcane_incentive,0
381364,5.18,karnataka,sugarcane,yes,large,low_income_farmer_aid,0
178563,4.48,maharashtra,sugarcane,no,large,small_farmer_support,0
209171,4.52,gujarat,wheat,yes,large,pm_kisan,0
173050,4.17,karnataka,rice,no,large,drip_irrigation,1
298120,5.73,gujarat,wheat,no,large,drip_irrigation,1
220615,4.83,karnataka,rice,no,large,cotton_support_scheme,1
72753,2.14,gujarat,cotton,no,medium,low_income_farmer_aid,1
57223,0.89,maharashtra,cotton,yes,small,medium_farmer_modernization,0
166551,3.54,karnataka,sugarcane,yes,medium,drip_irrigation,0
391456,4.33,maharashtra,sugarcane,yes,large,cotton_support_scheme,1
174066,5.22,gujarat,wheat,no,large,drip_irrigation,1
109471,1.58,gujarat,cotton,no,small,pm_kisan,1
144625,3.7,karnataka,sugarcane,no,medium,medium_farmer_modernization,0
234656,4.58,karnataka,sugarcane,no,large,medium_farmer_modernization,0
211587,3.94,karnataka,rice,yes,medium,large_farmer_irrigation_support,0
190061,5.24,up,wheat,yes,large,small_farmer_support,0
278587,4.17,punjab,wheat,yes,large,sugarcane_incentive,0
106846,2.9,gujarat,wheat,yes,medium,sugarcane_incentive,0
60543,1.22,punjab,rice,no,small,rice_development_scheme,1
30255,0.95,gujarat,wheat,no,small,drip_irrigation,0
182432,3.22,punjab,wheat,no,medium,rice_development_scheme,0
200486,3.53,maharashtra,cotton,no,medium,small_farmer_support,0
37426,0.78,punjab,rice,no,small,rice_development_scheme,0
281200,5.25,punjab,wheat,yes,large,rice_development_scheme,0
154303,2.22,gujarat,cotton,no,medium,cotton_support_scheme,0
270111,5.51,karnataka,sugarcane,no,large,cotton_support_scheme,1
197716,4.65,punjab,wheat,yes,large,sugarcane_incentive,0
213266,3.02,up,rice,no,medium,sugarcane_incentive,0
353380,5.9,up,wheat,no,large,cotton_support_scheme,0
139303,1.74,punjab,wheat,yes,small,sugarcane_incentive,0
159954,2.1,karnataka,rice,no,medium,cotton_support_scheme,1
64924,1.19,gujarat,wheat,yes,small,cotton_support_scheme,0
341089,5.56,gujarat,wheat,no,large,cotton_support_scheme,0
440079,5.28,punjab,wheat,yes,large,crop_insurance,0
85470,1.27,punjab,rice,yes,small,pm_kisan,1
128445,2.32,punjab,rice,yes,medium,sugarcane_incentive,1
285338,3.83,up,rice,yes,medium,cotton_support_scheme,1
117702,2.07,karnataka,sugarcane,no,medium,pm_kisan,0
285116,3.65,up,wheat,yes,medium,low_income_farmer_aid,0
42019,0.86,maharashtra,cotton,yes,small,crop_insurance,0
339693,5.34,karnataka,rice,no,large,low_income_farmer_aid,0
179783,4.99,punjab,wheat,yes,large,small_farmer_support,0
101924,1.58,karnataka,rice,no,small,cotton_support_scheme,0
285562,3.72,up,wheat,yes,medium,crop_insurance,1
129681,4.12,up,wheat,no,large,small_farmer_support,0
400721,5.02,maharashtra,cotton,no,large,drip_irrigation,0
137779,2.56,punjab,wheat,yes,medium,drip_irrigation,0
366410,4.69,maharashtra,cotton,yes,large,drip_irrigation,0
293819,4.43,gujarat,wheat,no,large,large_farmer_irrigation_support,0
276977,5.05,karnataka,sugarcane,no,large,low_income_farmer_aid,0
76634,1.96,karnataka,sugarcane,no,small,rice_development_scheme,0
221841,3.0,gujarat,wheat,no,medium,pm_kisan,0
177687,2.73,gujarat,cotton,no,medium,sugarcane_incentive,1
461549,5.12,gujarat,cotton,yes,large,pm_kisan,0
248955,2.78,maharashtra,cotton,yes,medium,rice_development_scheme,1
63199,0.76,maharashtra,sugarcane,yes,small,rice_development_scheme,1
93535,2.07,gujarat,wheat,no,medium,pm_kisan,0
143590,2.27,gujarat,cotton,yes,medium,cotton_support_scheme,1
90636,2.6,maharashtra,cotton,no,medium,drip_irrigation,1
183027,2.42,gujarat,wheat,yes,medium,medium_farmer_modernization,1
376647,5.74,gujarat,wheat,no,large,small_farmer_support,0
216063,4.37,up,rice,yes,large,sugarcane_incentive,0
69716,1.46,karnataka,rice,no,small,drip_irrigation,1
39096,1.0,punjab,rice,yes,small,large_farmer_irrigation_support,0
130148,3.95,gujarat,cotton,no,medium,low_income_farmer_aid,0
326629,5.29,punjab,wheat,yes,large,drip_irrigation,0
175316,3.65,gujarat,cotton,no,medium,drip_irrigation,0
187563,2.23,punjab,wheat,yes,medium,crop_insurance,0
66190,1.51,punjab,wheat,yes,small,pm_kisan,1
99721,3.01,maharashtra,sugarcane,no,medium,low_income_farmer_aid,1
448384,5.5,up,wheat,yes,large,drip_irrigation,0
55704,0.69,karnataka,sugarcane,yes,small,crop_insurance,0
192434,2.27,punjab,rice,yes,medium,small_farmer_support,0
71676,1.38,punjab,rice,yes,small,cotton_support_scheme,1
100473,1.05,gujarat,wheat,yes,small,cotton_support_scheme,0
42015,0.63,karnataka,sugarcane,no,small,cotton_support_scheme,1
309978,3.55,up,rice,yes,medium,cotton_support_scheme,1
283761,4.03,maharashtra,cotton,yes,large,sugarcane_incentive,0
145083,2.32,gujarat,wheat,no,medium,drip_irrigation,0
73823,2.14,maharashtra,cotton,no,medium,sugarcane_incentive,1
211021,5.2,gujarat,wheat,no,large,low_income_farmer_aid,0
151068,2.68,karnataka,sugarcane,yes,medium,small_farmer_support,0
206931,2.2,up,wheat,yes,medium,large_farmer_irrigation_support,0
439382,5.89,punjab,wheat,no,large,large_farmer_irrigation_support,0
105430,2.31,punjab,wheat,yes,medium,drip_irrigation,0
119014,2.8,karnataka,rice,yes,medium,small_farmer_support,0
62115,1.47,punjab,wheat,yes,small,large_farmer_irrigation_support,0
176312,2.44,punjab,wheat,yes,medium,low_income_farmer_aid,0
40011,0.8,karnataka,rice,yes,small,cotton_support_scheme,1
231315,3.28,gujarat,wheat,no,medium,drip_irrigation,0
104590,2.01,karnataka,rice,no,medium,rice_development_scheme,0
71296,1.88,maharashtra,sugarcane,yes,small,sugarcane_incentive,0
92148,1.07,karnataka,rice,yes,small,pm_kisan,1
160971,3.72,gujarat,cotton,yes,medium,medium_farmer_modernization,0
300126,5.52,karnataka,rice,yes,large,medium_farmer_modernization,0
68557,1.51,gujarat,wheat,yes,small,sugarcane_incentive,1
322558,5.09,punjab,wheat,no,large,large_farmer_irrigation_support,1
82648,2.17,maharashtra,cotton,yes,medium,crop_insurance,0
79135,1.71,up,wheat,no,small,small_farmer_support,1
140630,3.0,punjab,wheat,yes,medium,crop_insurance,0
136319,2.76,karnataka,sugarcane,no,medium,rice_development_scheme,1
41933,0.96,karnataka,rice,no,small,drip_irrigation,0
134372,2.8,karnataka,sugarcane,no,medium,sugarcane_incentive,1
280872,4.19,karnataka,rice,no,large,cotton_support_scheme,0
35539,0.98,gujarat,wheat,yes,small,large_farmer_irrigation_support,0
71539,1.97,up,rice,yes,small,rice_development_scheme,0
337342,4.69,gujarat,cotton,no,large,sugarcane_incentive,0
199803,3.87,punjab,rice,yes,medium,drip_irrigation,0
108548,2.18,punjab,rice,yes,medium,sugarcane_incentive,1
486249,5.45,karnataka,sugarcane,yes,large,medium_farmer_modernization,0
166686,2.5,gujarat,cotton,yes,medium,small_farmer_support,0
100267,2.23,karnataka,sugarcane,yes,medium,crop_insurance,0
96359,2.41,up,wheat,no,medium,large_farmer_irrigation_support,0
143331,2.52,up,rice,yes,medium,small_farmer_support,0
177055,3.59,gujarat,cotton,no,medium,large_farmer_irrigation_support,0
404932,5.71,karnataka,sugarcane,yes,large,low_income_farmer_aid,0
199444,4.32,punjab,wheat,yes,large,large_farmer_irrigation_support,0
290923,5.73,karnataka,sugarcane,yes,large,crop_insurance,1
112312,1.95,maharashtra,cotton,no,small,large_farmer_irrigation_support,0
157996,2.0,karnataka,sugarcane,no,medium,crop_insurance,0
233471,5.81,maharashtra,cotton,yes,large,small_farmer_support,0
265602,2.95,punjab,wheat,yes,medium,pm_kisan,0
78183,1.55,maharashtra,cotton,no,small,rice_development_scheme,1
123376,3.33,gujarat,cotton,no,medium,small_farmer_support,0
187977,2.16,maharashtra,sugarcane,yes,medium,crop_insurance,0
210720,3.2,gujarat,wheat,yes,medium,drip_irrigation,0
214967,2.24,maharashtra,sugarcane,yes,medium,large_farmer_irrigation_support,0
76791,1.86,maharashtra,cotton,no,small,drip_irrigation,0
44583,0.85,maharashtra,cotton,yes,small,low_income_farmer_aid,1
34937,0.91,punjab,rice,yes,small,drip_irrigation,0
201630,5.86,gujarat,wheat,no,large,rice_development_scheme,0
253798,4.63,karnataka,rice,no,large,crop_insurance,1
360119,4.04,gujarat,cotton,yes,large,medium_farmer_modernization,0
129749,1.92,karnataka,rice,no,small,cotton_support_scheme,1
434227,5.8,karnataka,rice,yes,large,low_income_farmer_aid,0
199595,2.31,punjab,rice,yes,medium,sugarcane_incentive,1
431415,5.69,gujarat,wheat,no,large,drip_irrigation,0
98661,2.2,karnataka,sugarcane,no,medium,drip_irrigation,1
154106,2.03,maharashtra,cotton,yes,medium,cotton_support_scheme,1
159347,3.68,up,wheat,no,medium,medium_farmer_modernization,0
131347,2.01,karnataka,sugarcane,no,medium,small_farmer_support,0
118393,3.26,gujarat,wheat,no,medium,drip_irrigation,0
414663,5.45,up,wheat,no,large,pm_kisan,0
182629,3.06,punjab,rice,no,medium,small_farmer_support,0
88710,1.24,gujarat,cotton,no,small,cotton_support_scheme,0
189217,4.85,maharashtra,cotton,no,large,low_income_farmer_aid,0
410306,5.68,gujarat,wheat,no,large,low_income_farmer_aid,0
168274,2.64,gujarat,cotton,yes,medium,small_farmer_support,0
299470,4.34,karnataka,sugarcane,yes,large,crop_insurance,0
71540,1.26,up,rice,yes,small,medium_farmer_modernization,0
252845,3.57,up,wheat,yes,medium,rice_development_scheme,1
238530,4.03,up,wheat,yes,large,cotton_support_scheme,0
101115,1.88,gujarat,cotton,no,small,crop_insurance,1
121469,2.89,gujarat,wheat,no,medium,medium_farmer_modernization,0
108207,1.62,gujarat,wheat,no,small,low_income_farmer_aid,1
45230,0.73,up,wheat,no,small,drip_irrigation,0
148418,2.18,karnataka,sugarcane,no,medium,medium_farmer_modernization,1
96482,1.08,punjab,wheat,yes,small,low_income_farmer_aid,1
242334,3.89,karnataka,rice,yes,medium,drip_irrigation,0
191641,2.87,karnataka,rice,yes,medium,pm_kisan,0
109690,1.87,karnataka,sugarcane,no,small,rice_development_scheme,0
548124,5.93,up,wheat,yes,large,sugarcane_incentive,0
162861,2.68,gujarat,wheat,yes,medium,low_income_farmer_aid,0
214811,2.88,punjab,wheat,yes,medium,rice_development_scheme,1
302724,4.32,maharashtra,cotton,no,large,small_farmer_support,0
122052,1.48,punjab,wheat,yes,small,pm_kisan,1
93764,2.05,up,wheat,no,medium,medium_farmer_modernization,0
432849,5.84,maharashtra,cotton,no,large,medium_farmer_modernization,0
147705,2.59,up,rice,no,medium,rice_development_scheme,0
138339,3.1,up,wheat,yes,medium,rice_development_scheme,0
236776,4.97,punjab,wheat,yes,large,pm_kisan,0
272656,3.32,punjab,wheat,yes,medium,rice_development_scheme,1
177105,3.74,up,rice,yes,medium,drip_irrigation,0
147218,2.29,up,wheat,yes,medium,rice_development_scheme,0
276119,3.96,up,rice,yes,medium,medium_farmer_modernization,1
69823,0.91,punjab,wheat,no,small,pm_kisan,1
361914,4.9,maharashtra,cotton,yes,large,drip_irrigation,0
243788,3.04,punjab,wheat,yes,medium,rice_development_scheme,0
413367,4.44,up,wheat,yes,large,cotton_support_scheme,1
83819,2.74,maharashtra,sugarcane,no,medium,rice_development_scheme,0
409038,5.2,up,rice,yes,large,rice_development_scheme,1
251399,5.9,karnataka,rice,no,large,pm_kisan,0
263515,2.97,punjab,wheat,yes,medium,crop_insurance,0
143886,1.82,punjab,wheat,yes,small,crop_insurance,0
207718,3.43,gujarat,cotton,yes,medium,low_income_farmer_aid,0
229707,5.07,karnataka,sugarcane,yes,large,low_income_farmer_aid,0
320644,4.45,gujarat,wheat,no,large,cotton_support_scheme,1
209053,4.75,punjab,wheat,yes,large,rice_development_scheme,1
181551,1.93,punjab,wheat,yes,small,crop_insurance,0
48845,0.87,gujarat,cotton,yes,small,pm_kisan,1
126072,4.04,karnataka,sugarcane,no,large,cotton_support_scheme,1
224682,5.48,karnataka,sugarcane,yes,large,crop_insurance,1
84455,1.71,maharashtra,sugarcane,no,small,medium_farmer_modernization,0
62473,1.52,karnataka,rice,no,small,medium_farmer_modernization,0
436185,5.81,maharashtra,cotton,no,large,sugarcane_incentive,0
46412,0.73,punjab,wheat,no,small,pm_kisan,1
113037,3.74,maharashtra,cotton,no,medium,medium_farmer_modernization,1
57791,1.59,punjab,rice,yes,small,pm_kisan,1
360856,5.64,gujarat,cotton,yes,large,crop_insurance,1
65857,2.04,maharashtra,sugarcane,no,medium,small_farmer_support,0
217125,4.7,gujarat,cotton,no,large,pm_kisan,0
207678,4.17,karnataka,sugarcane,no,large,rice_development_scheme,1
94728,1.0,up,wheat,yes,small,pm_kisan,1
259233,3.58,gujarat,wheat,yes,medium,rice_development_scheme,1
227570,2.45,punjab,wheat,yes,medium,small_farmer_support,0
65488,2.12,karnataka,sugarcane,no,medium,sugarcane_incentive,0
96954,3.04,up,wheat,no,medium,rice_development_scheme,1
237514,3.77,up,rice,yes,medium,crop_insurance,0
135970,4.2,gujarat,wheat,no,large,pm_kisan,0
237009,2.87,punjab,rice,yes,medium,cotton_support_scheme,0
295001,5.24,maharashtra,cotton,no,large,sugarcane_incentive,0
543748,5.67,karnataka,rice,yes,large,cotton_support_scheme,1
198000,5.87,up,wheat,no,large,sugarcane_incentive,1
182903,4.78,up,wheat,yes,large,large_farmer_irrigation_support,1
115082,1.55,gujarat,cotton,no,small,cotton_support_scheme,1
58690,1.08,up,wheat,no,small,sugarcane_incentive,1
142199,1.96,punjab,wheat,no,small,cotton_support_scheme,1
87115,2.36,karnataka,sugarcane,yes,medium,pm_kisan,0
40390,0.66,punjab,wheat,no,small,crop_insurance,0
181660,3.1,karnataka,sugarcane,no,medium,rice_development_scheme,0
394516,4.34,maharashtra,sugarcane,yes,large,large_farmer_irrigation_support,0
219236,4.0,maharashtra,cotton,no,large,medium_farmer_modernization,0
260862,3.32,maharashtra,sugarcane,no,medium,pm_kisan,0
209213,5.61,punjab,rice,no,large,medium_farmer_modernization,0
22919,0.57,karnataka,sugarcane,no,small,medium_farmer_modernization,0
115339,1.89,up,rice,yes,small,rice_development_scheme,0
258834,4.04,maharashtra,sugarcane,no,large,small_farmer_support,0
320526,4.4,gujarat,cotton,no,large,small_farmer_support,0
166986,2.75,maharashtra,cotton,yes,medium,small_farmer_support,0
389793,4.53,maharashtra,sugarcane,yes,large,large_farmer_irrigation_support,0
273952,5.68,gujarat,cotton,no,large,pm_kisan,0
279611,4.94,gujarat,wheat,yes,large,drip_irrigation,0
231001,4.06,maharashtra,cotton,yes,large,drip_irrigation,0
254586,5.57,punjab,rice,yes,large,cotton_support_scheme,1
211821,5.39,gujarat,wheat,no,large,rice_development_scheme,0
192999,3.41,punjab,rice,yes,medium,cotton_support_scheme,1
197457,3.83,gujarat,cotton,yes,medium,rice_development_scheme,0
279149,4.46,punjab,rice,yes,large,drip_irrigation,0
61027,1.65,gujarat,cotton,yes,small,cotton_support_scheme,0
124080,4.04,karnataka,sugarcane,no,large,crop_insurance,0
84904,2.55,gujarat,wheat,no,medium,cotton_support_scheme,1
105355,2.87,up,wheat,yes,medium,drip_irrigation,0
85300,2.04,gujarat,cotton,yes,medium,low_income_farmer_aid,1
337586,4.5,punjab,wheat,yes,large,rice_development_scheme,1
141338,1.92,gujarat,wheat,yes,small,medium_farmer_modernization,0
225052,4.64,maharashtra,sugarcane,yes,large,rice_development_scheme,1
174168,4.37,maharashtra,cotton,yes,large,sugarcane_incentive,0
78235,1.87,karnataka,sugarcane,no,small,medium_farmer_modernization,0
84391,1.66,karnataka,rice,yes,small,rice_development_scheme,1
76800,1.81,maharashtra,cotton,no,small,sugarcane_incentive,0
284056,4.93,punjab,rice,yes,large,low_income_farmer_aid,0
68846,1.41,up,wheat,no,small,sugarcane_incentive,0
231055,2.89,maharashtra,sugarcane,yes,medium,sugarcane_incentive,1
72778,1.73,maharashtra,sugarcane,yes,small,crop_insurance,1
348133,3.8,punjab,rice,yes,medium,crop_insurance,1
94765,1.54,up,wheat,no,small,rice_development_scheme,1
235034,4.76,maharashtra,cotton,no,large,large_farmer_irrigation_support,1
96426,2.01,punjab,wheat,yes,medium,large_farmer_irrigation_support,0
332227,4.67,gujarat,wheat,yes,large,pm_kisan,0
421799,5.18,maharashtra,cotton,yes,large,sugarcane_incentive,0
104781,1.47,punjab,rice,yes,small,rice_development_scheme,1
291626,4.34,punjab,wheat,no,large,cotton_support_scheme,0
352096,3.7,punjab,wheat,yes,medium,sugarcane_incentive,1
427972,5.82,punjab,rice,yes,large,cotton_support_scheme,1
40544,0.62,maharashtra,cotton,yes,small,medium_farmer_modernization,0
205591,2.24,punjab,wheat,yes,medium,rice_development_scheme,1
315529,3.35,karnataka,rice,yes,medium,small_farmer_support,0
144636,1.69,punjab,rice,yes,small,low_income_farmer_aid,0
61970,0.87,up,rice,yes,small,small_farmer_support,1
103786,1.73,karnataka,rice,no,small,medium_farmer_modernization,0
290867,4.99,karnataka,sugarcane,no,large,crop_insurance,0
322269,3.9,punjab,rice,yes,medium,drip_irrigation,0
230509,4.67,karnataka,sugarcane,yes,large,cotton_support_scheme,0
54104,1.11,maharashtra,sugarcane,no,small,small_farmer_support,1
128355,1.88,gujarat,wheat,yes,small,cotton_support_scheme,1
511653,5.37,maharashtra,sugarcane,yes,large,low_income_farmer_aid,0
179838,3.22,karnataka,sugarcane,yes,medium,low_income_farmer_aid,0
358882,5.52,up,wheat,no,large,large_farmer_irrigation_support,0
111373,2.34,punjab,wheat,yes,medium,small_farmer_support,0
336661,4.12,gujarat,cotton,yes,large,rice_development_scheme,0
120072,2.0,up,wheat,yes,medium,pm_kisan,0
464493,5.23,punjab,wheat,yes,large,pm_kisan,0
35985,0.57,karnataka,rice,no,small,large_farmer_irrigation_support,0
126656,2.09,up,wheat,no,medium,sugarcane_incentive,0
86243,2.29,maharashtra,cotton,yes,medium,drip_irrigation,0
121443,2.24,maharashtra,sugarcane,no,medium,rice_development_scheme,1
140962,3.68,gujarat,wheat,no,medium,crop_insurance,1
58077,1.68,maharashtra,cotton,no,small,large_farmer_irrigation_support,0
234780,5.12,gujarat,cotton,yes,large,medium_farmer_modernization,0
98876,1.06,punjab,rice,yes,small,pm_kisan,1
106496,1.98,karnataka,rice,no,small,low_income_farmer_aid,1
169216,3.28,gujarat,cotton,yes,medium,small_farmer_support,0
205343,3.42,gujarat,cotton,yes,medium,small_farmer_support,0
104235,1.57,maharashtra,cotton,no,small,cotton_support_scheme,0
143858,2.04,gujarat,wheat,no,medium,crop_insurance,0
93835,1.25,karnataka,sugarcane,no,small,medium_farmer_modernization,0
117126,2.2,up,wheat,yes,medium,small_farmer_support,0
134359,2.3,gujarat,cotton,no,medium,low_income_farmer_aid,0
291540,4.23,maharashtra,sugarcane,yes,large,low_income_farmer_aid,0
408864,5.25,maharashtra,cotton,no,large,cotton_support_scheme,1
422438,4.56,punjab,wheat,yes,large,crop_insurance,0
144931,2.39,punjab,wheat,yes,medium,sugarcane_incentive,0
64504,0.97,karnataka,sugarcane,no,small,drip_irrigation,0
65425,1.68,punjab,wheat,yes,small,rice_development_scheme,1
242249,2.75,punjab,rice,yes,medium,low_income_farmer_aid,0
90395,1.13,punjab,rice,yes,small,small_farmer_support,1
378791,4.64,maharashtra,sugarcane,yes,large,small_farmer_support,0
196189,4.75,karnataka,sugarcane,no,large,crop_insurance,0
150841,3.6,punjab,wheat,yes,medium,pm_kisan,0
177625,4.33,up,rice,no,large,medium_farmer_modernization,0
138539,1.46,karnataka,sugarcane,yes,small,low_income_farmer_aid,0
227263,3.26,up,wheat,yes,medium,drip_irrigation,0
516361,5.91,up,rice,yes,large,crop_insurance,1
201249,2.95,gujarat,cotton,yes,medium,large_farmer_irrigation_support,0
62688,1.66,up,wheat,yes,small,sugarcane_incentive,0
422333,4.76,maharashtra,sugarcane,yes,large,drip_irrigation,0
242403,5.71,gujarat,cotton,yes,large,cotton_support_scheme,1
45423,0.8,karnataka,sugarcane,no,small,cotton_support_scheme,0
174195,2.78,karnataka,rice,yes,medium,small_farmer_support,0
110474,1.88,up,rice,yes,small,crop_insurance,0
138548,1.56,karnataka,sugarcane,yes,small,cotton_support_scheme,1
